id,comment,rating,placeId,touristId
13,"Location is in the Chinatown area and is very easy to spot even from a farther distance. It’s free to enter but there are basic requirements to enter such as leaving your shoes outside which they have added a shoe rack spot to the right of the entrance, dress in a respectful manner, and no video recording in some areas of the temple.  The temple’s inside and outside are gorgeous with colorful paintings on the inside walls, color scheme just pops on both the inside and outside and the temple just stands out from it’s neighboring buildings. Definitely recommend to visit when you’re in the area and have some free time.",5,3,4
14,"Walking into Sri Mariamman Temple felt like stepping into a living painting. The vibrant colors, intricate carvings, and peaceful energy made the whole space feel sacred and alive. The details on the temple’s facade are stunning, and once inside, everything feels serene and full of meaning.  Just a little heads-up, you’ll need to take your shoes off before entering the temple grounds, so wear something easy to slip off. I didn’t have to wait at all to get in, and the experience left me with a calm heart and a deep sense of wonder. If you’re curious about spirituality, love colorful architecture, or just want a quiet moment in the middle of the city, this place is a ge",5,3,5
15,"This small temple was right across from the hotel where I stayed. On my first day, I happened to pass by while a religious ceremony was taking place, and it was open for the public to join. It was a really beautiful sight.  The temple’s bright and colorful gopuram (entrance tower) is a real showstopper, covered in intricate carvings of Hindu deities and mythical figures. It’s such a striking sight that it immediately draws your attention. Definitely worth stopping by for a closer look!",5,3,6
16,"The Armenian Church of St Gregory the Illuminator, is an amazing place to enjoy peaceful moments with yourself, praying and praising our Almighty God. Beautifully built church with nice and meaningful sculptures, one of which is Jesus Christ with cross. I love everything about that place. God bless you all ??",5,4,1
17,"A very beautiful and well maintained church, albeit small, especially when compared to other churches within the vicinity. As the oldest church in Singapore, it appears to be simple, humble yet rich in history.  Too bad we didn't get the chance to visit inside the church as it was closed to the public for a private event.",4,4,2
18,I highly recommend a visit to Singapore's first church built in the early 1800's. Armenians have played an integral role in the development of Singapore from the Raffles Hotel to Armenian Street.  A visit (by appointment) to the museum on the church grounds is also worth it to further understand the rich history of Armenians in Singapore.,5,4,3
19,The oldest church in Singapore. Friendly to visitors as the gate are always open during the day.,5,4,4
20,"A little piece of history, piety and culture in the middle of the city. When I visited this place, there wasn't much people, so it was very serene and quiet all around the church and garden. I just hope they would maximize this place, not just as a historical site, but also as a church and cultural center. I wonder if, aside from weddings, Eastern Rite liturgies are still celebrated here?",5,4,5
21,"The historical CHIJMES building, located in the heart of Singapore’s vibrant Orchard Road area, offers one of the most beautiful settings surrounded by lush greenery. It houses a stunning former church alongside a variety of food and beverage outlets. A wonderful destination for both tourists, visitors and locals to explore and unwind.",4,5,3
22,This place features beautiful architecture and also offers a variety of restaurants. It’s perfect for enjoying a meal with family and strolling around to admire the stunning buildings. It’s also easy to get to — I traveled there by bus.,5,5,4
23,"CHIJMES is such a beautiful and peaceful place with stunning architecture. I truly appreciated the respectful atmosphere and the sense of history there. The area is very clean, the people around were kind, and I felt so happy to discover such a charming and meaningful spot. Best to visit in the morning or early afternoon, as it can get quite hot later in the day. A lovely place for quiet reflection and tasteful photos.",5,5,5
24,"Old building but super aesthetic, lots of photo spots, and great selection of restaurants/bars. Perfect for chilling or a relaxed evening walk. The vibe is really different from other places in Singapore!",5,5,6
25,"Walking into CHIJMES felt like accidentally stepping into a peaceful, storybook world, except this one comes with wine bars and really good lighting.  By day, it’s like the city took a deep breath and made a little space just to chill. The old chapel is stunning, and if you look closely at the top of the columns, you’ll find tropical flowers and birds carved in, like someone said, “Let’s make this place gorgeous, but make it extra.” And they did.  One of the most touching spots? A little gate called the Gate of Hope on Victoria Street. This was where babies were once left to be cared for by nuns. Yeah, I know, suddenly you’re not just sipping an iced latte in a pretty place, you’re standing in living history. Wild, right?  But then… the sun sets. And bam, CHIJMES transforms into this lively, sparkling maze of restaurants and bars. One second you’re in quiet reflection mode, next you’re Googling “How many tapas is too many tapas?” while live music spills out from somewhere nearby. There’s food from everywhere, Spain, India, maybe even your future favorite.  It’s elegant without being stiff, historical without being dusty, and social without being overwhelming. I came here for the architecture and stayed for the sangria. Ten out of ten, would accidentally become a regular here.",5,5,1
26,"Located at the heart of Singapore Civic district, this oldest Anglican Cathedral is a historical charm. Its stunning Neo-Gothic architectural style, featuring tall white columns and beautifully arched ceilings that create a sense of serenity.  The white exterior made it really stands out among the modern concrete. Its interior, however, looks rather simple in comparison and the church is smaller than I thought. That said, it is worthwhile stop for prayer, reflection, or simply to admire its beauty.",3,6,2
27,"Very beautiful church, open to the public. We arrived when the people were preparing to have service so we left pretty fast. The stained glass windows are wonderful.",5,6,3
28,"A peaceful and awe-inspiring place to visit in the heart of the city. The cathedral’s architecture is stunning, with tall white columns and beautifully arched ceilings that create a sense of serenity. I was able to walk in without any wait, and the staff were kind and welcoming.  Whether you’re here to pray, reflect, or simply admire the beauty of the space, it’s absolutely worth stopping by. Quiet, calming, and full of historical charm.",5,6,4
29,"St Andrew Cathedral also known as 圣安德烈座堂 in chinese is a national monument located in City Hall. It has a rich history and cultural heritage and is definitely worth visiting. While strolling in the courtyard, you might be greeted by sights of sagat seeds scattered across the ground. There are many sagat trees in the vicinity as this is one of the most commonly planted trees by NParks in Singapore. St Andrew's Neo-Gothic architectural style is impressive to say the least and there are many rustic artefacts that can be found in the Cathedral itself. The interior of the Cathedral boasts of beautifully crafted glass windows which are dedicated to the founder of Singapore  Raffles, the second resident of Singapore, John Crawford  and the Governor of Singapore, Major General William Butterford. Across the street is Funan mall, where there are plenty of food options. For those wishing to visit the Cathedral, take note that the visitor centre is only open on Tuesdays to Saturdays from 10 am to 4 pm.",5,6,5
30,"Singapore's Anglican church Cathedral  - large, inpressive, and, which is most important to me personally, extremely welcoming to the visitors like me: starting from their beautiful, spacious and relaxing visitors centre on to very informative route planners and narrative posters all around its premises. Well done, God bless you, kind people of St. Andrew's!",5,6,6
31,It is a stage outside the Tooth Relic Temple and Chinatown Complex Market and Food Centre. Not big.  Sometimes there are live performances there. Best to hear the songs sung by the artistes from level 2 food centre while having a meal with some breeze from the wall fans.  On a daily basis some elderly would gather to play chess or simply chitchatting.  It is also commonly known as the meeting place before a walking tour starts.,4,7,1
32,"Its located opposite the Tooth Relic Temple, near the Chinatown Street Market and one of the entrance of China Town Complex. Its a square with a stage for performance during special occasions like lunar new year. This is also the gathering place for old folks to chit chat or to play a game of chess.",4,7,2
33,"12 life-sized tiger displays currently at Kreta Ayer Square (Open space between Buddha Relic Temple and Chinatown Complex) - Exhibition is ongoing from now till 15 February 2022.  This is an initative to raise the awareness of  tiger conservation as we welcome the Year of Tiger. Painted by local artists, injecting different personalities to these tigers.  Can be crowded as many were taking photos. Nice place to go after dining at Chinatown Complex",4,7,3
34,This Square is nearly not as interesting as they say. The surrounding area is far nicer to take a walk and explore.,3,7,4
35,"Located right by Chinatown Complex. On weekends they're always crowded, filled with old uncles and aunties who are hanging out here playing chess or dancing. Occasionally there are folk dances happening, but for the most part, it's just a very exciting sight, especially if you're into the whole Chinatown ambience.",4,7,5
36,"It's worth a visit to try out some local food or buy some souvenirs. Walk down the street and also around the corner, as there are other shops/stalls, including a Starbucks in a beautiful colourful building. There are food stalls, restaurants and other Shops that sell souvenirs. It's located next to the Chinatown Complex",4,9,4
37,Very interesting place to visit where you'll find lots of shops and restaurants with different Chinese cuisines!,5,9,5
38,"The retro-style snack street, and the old brother who does henna tattoos there has great skills.",5,9,6
39,"Food is good and have a great service. Very kid friendly staff. Wish i didnt have  stomache bug the night before this day, coz id love to devour that crab",5,9,1
40,Good Chinese food you can find over there lots of choices nice clean place too and especially the DURIAN. Also many souvenirs to choose from,4,9,2
41,"TC, the trishaw rider, was an excellent guide! He shared many interesting facts and secrets around the house. The place is filled with all sorts of items from the past! Very interesting learning about everything. Downstairs there is a shop full of Singapore souvenirs and a special tea shop. Highly recommend to come here. Full air conditioned too!",5,10,1
42,What a great place to learn about developing Chinatown within Singapore. This place was super informative and interactive. I learned so much here going through the different exhibits and rich history that was provided. Definitely a must visit when touring through Singapore.,5,10,2
43,"Highly recommended to plan a visit here for those who wants to learn about the life in Chinatown pre-independence. Highly experiential learning opportunity here.  Great amount of care to recreate the days past and highly interactive displays to bring to life the daily living of the past generation.  Hopefully, it will show how much we have to be grateful for the life we have nowadays.",5,10,3
44,"Pretty fun, well-thought and curated museum that gives you a glimpse of the genesis of Chinatown in Singapore, through the lense of migrant workers, how they lived and earned a living, and how it all set a foundation for the modern yet traditional lifestyle we all know today. Well kept and comfortably air-conditioned. Worth a visit for sure, but I felt the tickets were a bit on the pricey side.",4,10,4
45,"Today was the perfect opportunity to visit the Chinatown Heritage Centre, especially since we missed the soft launch. We had no regrets booking our tickets online and making the visit. Although our reservation was for 3 PM, we arrived earlier, and the attendants kindly allowed us entry.  It was a quiet afternoon with fewer visitors, giving us the chance to explore at our own pace, read the exhibits, and take photos without obstruction. Our first impression was that the place is well-maintained and clean. It was truly an eye-opening experience to learn about Singapore’s history and the struggles of early immigrants who arrived in Nanyang, hoping to find prosperity.  This heritage centre is an insightful visit, especially for younger generations, as it provides valuable knowledge about our ancestors who settled here. The centre also offers videos that showcase historical events and experiences. However, visitors should be mindful when walking down the narrow and dimly lit staircase—we chose not to take the lift.  Overall, it’s a highly recommended visit for anyone interested in Singapore’s rich heritage.",5,10,5
46,I visited the Thian Hock Keng temple and it was a very peaceful visit. This is the oldest temple in Singapore and has Chinese heritage in terms of the impressive architecture. The temple is open during day time and you don't need a ticket to enter. There are incence and candles available for free but a donation is recommended. It has some areas where photography is prohibited but the main temple grounds is not. Highly recommended!,5,11,5
47,"Thian Hock Keng Temple is an example of traditional Chinese architecture and one of Singapore’s oldest temples.  Admission is free, and the temple is well-maintained with informative plaques for visitors.  Be mindful in hot weather - the smell from traditional burnings can be quite intense, better to bring some water. Also there are parts where photos and videos are not allowed to provide privacy to those who pray.",5,11,6
48,"Thian Hock Keng is one of the earliest Chinese temples in Singapore. Located in the bustling city center, it is popular with both tourists and locals. The temple features beautiful historical Chinese architecture and is well maintained.",5,11,1
49,"Located in the business district of Singapore, Thian Hock Keng Temple is a stunning example of traditional Chinese architecture and one of Singapore’s oldest temples. The temple is dedicated to the revered sea goddess Mazu (妈祖 or 南海娘娘) and other deities for worshipping. The intricate carvings, vibrant colors, and detailed craftsmanship are truly impressive. Worth the visit to experience and immerse in the different Chinese heritages.",5,11,2
50,"Thian Hock Keng Temple is probably the oldest Chinese temple in Singapore. A Haokkien temple. An unique information. Though made in 1842, this excellent structure has no nails. The building has an influence of the design of Southern part of China. It is situated in Telok Ayer Street, about 10 minutes walking distance from China Town.",4,11,3
51,Such an amazing place to discover Eurasian roots and the olden days Singapore. It’s like a mini museum but it has quite a myriad of artefacts. It is well worth a visit!,5,12,5
52,"I would have given 4.5 stars for the exhibition but we had the strangest experience upon entering which in fact deserves one star. The female at the counter assumed I was a foreigner (foreigners pay a small sum to enter). I told her I was PR and my daughter a citizen. Instead of politely asking for my ID she very roughly demanded “show me” twice. I wanted a nice experience for my 8yo daughter so I complied without fuss. She then turned to my young girl and said she must pay. I was confused. I repeated that my daughter was a local Singaporean but she refused to believe me. It’s only when my Singaporean husband entered that she backed down. Nice introduction to the Eurasian community!  Unfortunately they no longer have an activity book/pack for children so I hope if they read this they’ll reintroduce one as the children would gain far more from the actual exhibition.  As for the exhibit itself, it’s quite good though a little crammed with information but I understand space is a constraint.  Would recommend if you’re combining a trip with the gorgeous downstairs Eurasian restaurant “Quentins” which my family and I love. Otherwise, given the odd reception by that woman, I’d give the exhibit a miss.",3,12,6
53,Just joined the Eurasian Association and was there for a welcoming ceremony. Our race is often forgotten being a minority race in Singapore. Come on down to EA and know more about us. The gallery is on the 4th floor,5,12,1
54,First time here. A quiet place with comprehensive information you need to know about Eurasian community. Lot of interesting fun facts. There is a restaurant on the ground floor serving Eurasian food but I didn’t have time to try it. Maybe next time.,5,12,2
55,"Absolutely loved the gallery! Quite small and located on the floors above, there is a lot of history packed into such a small place. I was fascinated by all the memorabilia and stories about the western influence on Singapore. I was even amazed to find my own surname which is quite localised to where I am from displayed amongst the collection with a coat of arms and the reference used which influenced the naming of a street. I spent about 30 mins although could have easily spent an hour going through all of the gallery.",5,12,3
56,It’s okay.  The atrium space has a few popular restaurants and it can get quite busy at night.,4,13,2
57,If u were born in the 60/70s there is a chance u have been here before and it was a movies and Makan chill date place,5,13,3
58,Beautifully decorated. Posh and chic.,4,13,4
59,A nice & chill place for a lunch gathering with old friends. Would love to visit again. ??❤️  The carrot cake in the cafe really looks cute. It tastes good as well ?,5,13,5
60,"As a retail mall,  there is only one tiny baby changing room at level B2, which is so super tiny and narrow that it does not allow parents to push in their strollers.  Not family friendly at all for families with babies.  The concierge person gave us wrong info that every floor has a baby changing/nursing room,  we explored every floor and there is only one such tiny room on B2. We ended up trying to find at Capitol Kempinski hotel,  and this hotel was so closely guarded that we almost could not enter.  The hotel also does not have a baby changing/ nursing room.",1,13,6
61,"A truly iconic place in Singapore!  As someone who enjoys music, culture, and peaceful scenic spots, I really love visiting the Esplanade. Whether I’m here to catch a show, meet friends, or just unwind by the bay, this place always feels special.  The architecture alone is something else — that “durian” look always catches the eye. Inside, the concert halls are world-class. Great sound, comfortable seating, and you really feel immersed in the performance. I once caught a live performance here and it gave me goosebumps.  What I also like is that the whole area outside is super relaxing. You get an amazing view of Marina Bay Sands, and the vibe at night is peaceful and inspiring. There are often buskers and pop-up art displays, which makes the walk around even more lively.  Perfect spot for both tourists and locals like me who just need a break from the city buzz without going too far. Highly recommended if you’re into the arts or just want a chill evening with beautiful views.",5,14,2
62,"I didn’t know what to expect when I visited Esplanade ,Theatres on the Bay, but it turned out to be an amazing experience! The building itself is really cool to look at, and there’s a great vibe in the area. I caught a free performance at the outdoor theatre, and it was surprisingly good! The location is also perfect right by the waterfront and Marina Bay Sands. There are also cafes and small galleries to explore inside. Great spot to relax, take photos, and enjoy some culture",4,14,3
63,"The rooftop view was amazing!!! Caught 2 free performances before leaving. Highly recommend going on weekends or public holidays. There are shops, restaurants and free performances. Best place to spend a day?",5,14,4
64,"The Esplanade Concert Hall is very comfortable, with perfect air-conditioning and a smooth, well-organized entry and exit. The sound system was excellent, and the Cat 1 , Circle 1 and 2  seats had a great view. However, the view from Circle 3 may not be suitable for concerts.""",4,14,5
65,"my favorite place to spend a Saturday night. Great free performances, the waterfront and beautiful bright lights, what's there not to like.",5,14,6
66,"This was an extremely well thought out, family friendly and delightful attraction. It was so much fun to see how tickled the families and kids were as they went through the Jurassic exhibit. The orchids and the plants and the special exhibits were absolutely amazing. It is not hyperbole to say that it was an absolutely thrilling experience. And I thought the cost was more than fair. It was $46 for an adult for the day. And there was plenty to see that didn’t cost anything. This is a must see when you come to Singapore. I included a photo of the bathroom sinks to show you that the children were included in the planning process. That sink is the perfect height for a 4 to 5 year-old to use.",5,15,2
67,"We loved Gardens by the Bay. We took the lift to the observation deck for a 360° view. A walk around the lake enjoying the green space and shade as it was a very hot day. The cloud dome and flower dome were incredible, and the dinosaurs were great fun. So much more I would have liked to explore, but that will have to wait for next time. Public green space on this size is a credit to Singapore ??",5,15,3
68,"What an incredible experience there is so much to see and do here. We took to audio tour before entering the park, which was a great way to explore the park before heading into the enclosures/domes.  Lots to feast your eyes on and at every turn there is a new surprise.  Great for all ages and most areas are fully accessible for those with disabilities.  Don’t miss out on seeing it. We sadly left this to our last day and weren’t able to enjoy the night light spectacular, which we saw from afar, again a must see magnificent sight.",5,15,4
69,"Gardens by the Bay is a must-see in Singapore! We really enjoyed our time there, you could easily spend a whole day exploring it all. The glasshouses are the highlight; both the Cloud Forest and Flower Dome are amazing, with a great mix of plants and flowers and some fun surprises along the way. It’s very family friendly, with a few dining spots, but be ready for a fair bit of walking. The Supertrees are also well worth a visit. The whole place is huge and beautifully maintained. Absolutely recommend!",5,15,5
70,"Gardens by the Bay is a beautiful and massive place — definitely a walk-heavy experience, so if you’re looking to burn some calories while enjoying nature, this is the perfect spot! The area is filled with lush greenery, showcasing a wide variety of plants and trees from around the world. It’s creatively designed and gives you a truly unique and refreshing experience.  Make sure to stay hydrated — the place is huge, and you’ll be walking a lot. Overall, a wonderful experience and a great example of how Singapore continues to amaze with its innovation and natural beauty.",4,15,6
71,"A one of a kind place to live. It is one iconic building in Singapore. It has everything you need, gym, pool, small grocery stores, clinic, barbershop, etc. The bust stop is right in front and has the other two very convenient bus stops a short walk away.",5,16,4
72,"Designed by the great Ole Schereen, partner at the OMA, this is a fabulous residential project. The moment you step in, you'd realise why it was honored with the Building of the Year 2015! The experience of being in this place is so enthralling and exciting, as from no single place you'd find the volumes to look similar. With each step and turn you unravel beautiful volumes and great design aesthete.",5,16,5
73,"I absolutely loved living at The Interlace in Singapore! This condo is a true architectural marvel, boasting a distinctive “stacked” design that’s both eye-catching and functional. The sprawling grounds are surrounded by lush greenery?, and the extensive facilities—like swimming pools?‍♂️, gyms?️, and communal spaces—help foster a warm, vibrant community vibe. Plus, its strategic location makes commuting effortless, with plenty of shopping, dining?️, and entertainment spots just a stone’s throw away. If you’re seeking a home that combines bold design, modern conveniences, and a friendly neighborhood spirit, The Interlace is definitely worth considering!",5,16,6
74,"The Interlace, One of the expats favorite iconic development at all time. I’ve just leased an unit within a day with overwhelming response! Lush of greenery, spacious landscaping and shops within the compound. Best of all, not only the easy access location and most of the the units came with generously good sizes and great view!",5,16,1
75,"The Interlace is an awe-inspiring structure that resembles a giant stack of colorful Lego blocks. The architecture is truly unique and a sight to behold. The high-end condominiums within the building are luxurious and offer a comfortable living experience. The surrounding lush greenery is a refreshing sight in the midst of the city. Overall, the Interlace is a masterpiece of design that's worth a visit for architecture enthusiasts and anyone looking for a unique living experience.",5,16,2
76,"We’ve stayed here three times and have generally had very good experiences. However, during our most recent visit, we encountered some challenges at the front desk that impacted our stay. Due to a medical situation involving an injured member of our group, we requested a change in room location to better accommodate their condition. Unfortunately, we felt that our concerns were not met with the level of responsiveness or support we had previously experienced. What could have been a relatively simple adjustment became a prolonged and exhausting process.  We were eventually offered new rooms two days later, but by then, we were too worn out to move again.  That said, we would like to recognize Samuel Lee, the Assistant Front Office Manager, who made a significant difference on our last day. He took the time to listen, understand our concerns, and offer genuine reassurance. His professionalism and care restored our confidence in the service we had come to appreciate and it is largely because of this positive interaction with Samuel that we would return.  On another note, we also noticed some areas for improvement in the Executive Lounge. There is of lack attention to detail in the service of certain dishes, drinks, and the setup of the mini buffets(cheese platters with not the right cheese knives,no spoons to scoop honey/jams). Orders were occasionally mixed up, the quality of the coffee could be enhanced. With a bit more consistency and attentiveness, the overall experience in the lounge could better match the standards expected at this level of hospitality.",4,17,3
77,"We booked three nights for a family holiday during our stopover in Singapore. The hotel seemed modern and appealing. Unfortunately, the music at reception was so loud that it was difficult to understand the staff behind their desks during check-in. It could be the other way around, too, as the promised extra bed never arrived. The really unpleasant smell in the room was only addressed after repeated inquiries. You have to wait for breakfast because the restaurant can't keep up with the number of guests the hotel can accommodate. Despite the staff's generous efforts to accommodate this with a great deal of friendliness, I can only give it a clear recommendation—rather mediocre and definitely not top-notch.",3,17,4
78,"The hanging gardens are absolutely stunning and make this hotel feel like no other. A unique blend of urban luxury and tropical nature. It genuinely felt like living in a tropical oasis right in the heart of the city.  The natural light in the room made the space feel much larger and more open, and the glass shower overlooking the city added a special touch that made the stay feel truly memorable and luxurious.  The breakfast was good, with a decent variety and quality. But what stood out most was the exceptional service: truly 10 out of 10. The staff were attentive, warm, and made the experience seamless and elevated.",5,17,5
79,"Really love the greenery of the whole hotel when I walk in. Amazing design, cozy and relax. They have one of the most amazing hotel buffet in Singapore. I am a buffet lovers, and this one really caught my heart. I always come back for their lobster buffet, incredible standards, a lot of varieties of lobster, even have the most amazing Sarawak pepper lobster flavour. So fragrant, the spiciness is just nice.",5,17,6
80,"We really enjoyed our stay at this hotel. The staff were very friendly, the service was excellent, and the view was amazing. The location is also great—close to an MRT station and surrounded by plenty of food options. I would highly recommend staying here, and I’d definitely come back myself.",5,17,1
81,"Writing this review in response to how my application was handled very poorly  I will admit I submitted it late by a day, but that was due to the staff's inadequate knowledge and told me to use an OpenCert which was wrong so I had to go find my physical certs and that wasted time  But all that does not justify why I applied the same time as a friend who just finished her A Levels, both went in at the start of February right after the Open House. She auditioned in late February and got in. While mine was pushed so far until mid April and what I noticed was of the 7 candidates, 5 were from ITE, as we found out while waiting, and this led me to believe they think that A Level & Poly students alike are ""smarter"" and ITE ones are ""stupider"" And 1 of the 7 was from Poly whose first slot was in Feb, but missed it and got another slot in Apr!  Ultimately I was rejected and while upset, is not the focal point of my review, rather the way my certs got me treated.  LASALLE should NOT be picky based on their certs and as such us ITE students have no chance to appeal as ""it is too late in the semester"" but those who audition earlier can as they were given earlier slots. Seemingly based on certs. Those who apply first should audition first, and not have LASALLE cherry pick slots for candidates based on certs.  I wanted a Diploma in Performance so much but given how they treated me, I won't at all be shocked if my slot for the AY2026 gets pushed to April.  Time will tell as to the validity of my claims. If once again I get delayed, it's clear they want to give less priorities to Higher NITEC holders  Because if this is the case and I get shelved to Apr 2026, I will NOT be returning to LASALLE. At this point, their claims to give students equal opportunities and overlook differences such as disabilities (I have some), race or qualifications. All of that all feels like lip service to exude a positive image  I'm not making excuses to soften the blow of rejection, but recapping how unfair it is to be unable to appeal because I ""auditioned late"". I only ""auditioned late"" only because they kept me until the last slot, 15 April when I applied on 3 February  If I get the last slot again, it is clear that despite their ""equal opportunities"" claim, LASALLE gives priority to A level and Poly diploma holders, and give less opportunities to Higher NITEC holders. My application for AY2026 was submitted the day after my rejection, being mid May 2025 and will be with the general intake in Oct 2025. So there is no excuse to delay me to May 2026 then unless they truly segregate based on qualifications  If I get delayed again to Apr 2026 for the last slot with other ITE graduates, I will void my application and pursue my dreams of being an actor elsewhere, anywhere where I do not get segregated because of my certs. -- In short, I was given the last audition in Apr for a Diploma in Performance in February. I was rejected and I couldn't appeal because I auditioned late. And I only auditioned late because LASALLE gave me a late slot. And when I arrived I was with mostly ITE graduates many of whom applied in late March, even April and mine was in early February, which to me means slots are given based on certs and not a matter of first come first serve. In film, rejection will happen, but the lead up to it is what frustrates me  I'm still very heartbroken as I applied in February and wasted months until April and turned away in May. Honestly I want to withdraw my application for AY2026 seeing how I was held back. My ambition was just learn the craft of being an actor  And a large part is due to LASALLE shelving ITE students until the end, where it's too late to appeal. For rejection, I've accepted it. If someone outdid me, that is fair and square. I applied early yet was kept until the last slot where I can't appeal. And that is what hurts me so much. If I could appeal like those with early slots, I would not be writing this. But I could not, hence the review.  This review is not to hurt LASALLE's image. I only wanted to bring to light what I went through",1,18,4
